Country Name,Country Code,Year,Access to electricity (% of population) - EG.ELC.ACCS.ZS,Adjusted net national income per capita (annual % growth) - NY.ADJ.NNTY.PC.KD.ZG,"Adjusted net savings, excluding particulate emission damage (% of GNI) - NY.ADJ.SVNX.GN.ZS",Adjusted savings: carbon dioxide damage (% of GNI) - NY.ADJ.DCO2.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) - NY.ADJ.DRES.GN.ZS,Adjusted savings: net forest depletion (% of GNI) - NY.ADJ.DFOR.GN.ZS,Adjusted savings: particulate emission damage (% of GNI) - NY.ADJ.DPEM.GN.ZS,"Automated teller machines (ATMs) (per 100,000 adults) - FB.ATM.TOTL.P5",Broad money (% of GDP) - FM.LBL.BMNY.GD.ZS,Children out of school (% of primary school age) - SE.PRM.UNER.ZS,"Compulsory education, duration (years) - SE.COM.DURS","Cost of business start-up procedures, female (% of GNI per capita) - IC.REG.COST.PC.FE.ZS","Cost of business start-up procedures, male (% of GNI per capita) - IC.REG.COST.PC.MA.ZS",Exports of goods and services (% of GDP) - NE.EXP.GNFS.ZS,Final consumption expenditure (% of GDP) - NE.CON.TOTL.ZS,GDP (current US$) - NY.GDP.MKTP.CD,GDP per capita (current US$) - NY.GDP.PCAP.CD,General government final consumption expenditure (% of GDP) - NE.CON.GOVT.ZS,Gross national expenditure (% of GDP) - NE.DAB.TOTL.ZS,Gross savings (% of GDP) - NY.GNS.ICTR.ZS,Imports of goods and services (% of GDP) - NE.IMP.GNFS.ZS,"Inflation, consumer prices (annual %) - FP.CPI.TOTL.ZG","Primary completion rate, total (% of relevant age group) - SE.PRM.CMPT.ZS",Proportion of seats held by women in national parliaments (%) - SG.GEN.PARL.ZS,"Pupil-teacher ratio, primary - SE.PRM.ENRL.TC.ZS",Renewable electricity output (% of total electricity output) - EG.ELC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption) - EG.FEC.RNEW.ZS,"School enrollment, preprimary (% gross) - SE.PRE.ENRR","School enrollment, primary (% gross) - SE.PRM.ENRR","School enrollment, secondary (% gross) - SE.SEC.ENRR",Trade (% of GDP) - NE.TRD.GNFS.ZS,Women Business and the Law Index Score (scale 1-100) - SG.LAW.INDX,Prevalence of undernourishment (%) - SN_ITK_DEFC - 2.1.1,Proportion of population below international poverty line (%) - SI_POV_DAY1 - 1.1.1,Proportion of population covered by at least a 2G mobile network (%) - IT_MOB_2GNTWK - 9.c.1,Proportion of population covered by at least a 3G mobile network (%) - IT_MOB_3GNTWK - 9.c.1,Proportion of population using basic drinking water services (%) - SP_ACS_BSRVH2O - 1.4.1,"Unemployment rate, male (%) - SL_TLF_UEM - 8.5.2","Unemployment rate, women (%) - SL_TLF_UEM - 8.5.2","Annual production-based emissions of carbon dioxide (CO2), measured in million tonnes",Continent,Gini index (World Bank estimate) - SI.POV.GINI,Income Classification (World Bank Definition),Individuals using the Internet (% of population) - IT.NET.USER.ZS,"Life expectancy at birth, total (years) - SP.DYN.LE00.IN","Population, total - SP.POP.TOTL",Regime Type (RoW Measure Definition),Rural population (% of total population) - SP.RUR.TOTL.ZS,Total natural resources rents (% of GDP) - NY.GDP.TOTL.RT.ZS,Urban population (% of total population) - SP.URB.TOTL.IN.ZS,World Regions (UN SDG Definition)
Aruba,ABW,2000,91.660398,,15.39221136,2.389134359,0.000190031,0.000190031,,,51.83454203,1.602679968,,,,74.40032444,70.79213235,1873452514,20617.75047,21.41059437,96.28803512,23.73027422,70.67285327,4.044021312,97.14286041,,19.05967,0,0.175300002,95.90303802,110.7881775,96.51616669,145.0731777,,,,,,,,,2.378,North America,,High income,,,,,53.283,,,Latin America and Caribbean
Aruba,ABW,2001,100,,11.49193045,2.509045841,0.000213978,0.000213978,,,53.55251673,0.32258001,,,,70.49752691,74.33808554,1920111732,20670.36701,24.52720396,98.05062555,19.32790224,68.54815246,2.883604303,94.40406799,,18.94779,0,0.180500001,97.55019379,109.4409637,97.97286987,139.0456794,,,,,,,,,2.407,North America,,High income,17.1,73.853,92892,,53.661,7.12137437362349e-04,46.339,Latin America and Caribbean
Aruba,ABW,2002,100,,3.893619865,2.72138537,0.000222866,0.000222866,,,58.52086331,1.81633997,,,,64.92086331,77.55395683,1941340782,20436.88713,25.15107914,104.4604317,12.01669065,69.38129496,3.315246786,94.75524139,,19.06977,0,0.181400001,98.43591309,111.0108337,100.5206833,134.3021583,,,,,,,,,2.437,North America,,High income,18.8,73.937,94992,,54.028,6.57229262514586e-04,45.972,Latin America and Caribbean
Aruba,ABW,2003,100,,6.71386335,2.733675941,0.000243312,0.000243312,,,61.19679381,3.321559906,,,,63.10116086,78.55168601,2021229050,20833.97636,24.70978441,107.7667219,14.46185738,70.86788281,3.656365079,90.21591949,,18.43017,0,0.184599996,99.62290192,109.2143021,99.09117126,133.9690437,,,,,,,,,2.561,North America,,High income,20.8,74.038,97016,,54.394,6.99970185109785e-04,45.606,Latin America and Caribbean
Aruba,ABW,2004,100,,9.801575575,2.678363121,0.000256001,0.000256001,,,57.29004763,2.176520109,,,,65.07896716,74.70543996,2228491620,22568.37499,23.16370018,103.4845826,17.09651542,68.56354976,2.529129469,90.55989838,,18.45109,0,0.187099993,98.746521,110.8390503,97.25244141,133.6425169,,,,,,,,,2.616,North America,,High income,23,74.156,98744,,54.76,6.85497461216565e-04,45.24,Latin America and Caribbean
Aruba,ABW,2005,100,,-12.52318029,3.413409269,0.000314319,0.000314319,,,58.16874401,1.640769958,,,,68.55225312,75.81495686,2330726257,23300.73836,23.1303931,109.3959732,-2.041702048,77.94822627,3.397786778,88.19796753,,18.0776,0,0.1866,100.4272003,111.3767166,95.9417572,146.5004794,,,,90,,,,,2.719,North America,,High income,25.4,74.287,100028,,55.125,6.53399781738063e-04,44.875,Latin America and Caribbean
Aruba,ABW,2006,100,,5.677193972,2.868293931,0.000391231,0.000391231,,,57.24423963,0.969179988,,,,65.85253456,77.09677419,2424581006,24046.22638,22.64976959,112.2580645,13.16330511,78.11059908,3.608024388,93.18611908,,18.16434,0,0.189899996,108.9813766,114.251152,97.35636902,143.9631336,,,,99,,,,,2.715,North America,,High income,28,74.429,100830,,55.489,9.40949465840093e-04,44.511,Latin America and Caribbean
Aruba,ABW,2007,100,,-7.632765867,3.253495153,0.000444516,0.000444516,,,54.8258919,0.812430024,,,,66.16107669,78.14569536,2615083799,25834.11178,21.66203803,110.6601154,2.416150395,76.7998291,5.392567845,95.58824158,,17.41751,0,0.189999998,107.3296509,115.2115784,102.5597534,142.9609058,,,,99,,,,,2.821,North America,,High income,30.9,74.576,101226,,55.853,9.18692037728531e-04,44.147,Latin America and Caribbean
Aruba,ABW,2008,100,,5.967279403,2.709434609,0.000423688,0.000423688,,,60.87708588,0.469060004,,,,67.7045177,77.24867725,2745251397,27083.63486,21.97802198,110.5006105,13.73219373,78.18477818,8.955987052,95.13303375,,17.29188,0,0.193499997,101.6697617,113.0916138,94.64913177,145.8892959,,,,99,,,,,2.656,North America,,High income,52,74.725,101362,,56.217,9.49223427263557e-04,43.783,Latin America and Caribbean
Aruba,ABW,2009,100,,3.923561767,3.011006608,0.000442897,0.000442897,,,70.72434608,3.341730118,,,,63.78269618,82.20433713,2498882682,24631.18205,25.37446904,112.4972055,10.89649005,76.27990163,-2.13542872,96.2425766,,17.08591,0,0.299800009,100.8569336,113.8017883,96.73602295,140.0625978,,,,,,,,,2.627,North America,,High income,58,74.872,101452,,56.579,9.67668246167683e-04,43.421,Latin America and Caribbean
Aruba,ABW,2010,93.35629215,,-3.233307376,3.182334355,0.001143365,0.001143365,,,73.72283244,0.909619987,,,,61.0422996,87.61392849,2390502793,23513.5277,27.15587754,116.5459219,3.549894835,77.5648516,2.078140719,94.78610229,,16.82253,11.32737715,5.464700222,104.3849869,113.7942963,95.82353973,138.6071512,,,,,,,,,2.506,North America,,High income,62,75.017,101665,,56.941,2.36128359145529e-03,43.059,Latin America and Caribbean
Aruba,ABW,2011,100,,-10.47069151,3.23657644,0.001016473,0.001016473,,110.9768428,69.20683611,,13,,,67.81332165,87.46713409,2549720670,24985.01392,25.98597721,115.9728309,-1.698071867,83.7861525,4.316297422,,,15.08609,12.10102096,5.661799908,102.1292191,105.2558594,97.02787781,151.5994741,,,,,,,,,2.499,North America,,High income,69,75.158,102050,,57.06,1.9480556684067e-03,42.94,Latin America and Caribbean
